label_id,paxinos_name,proposed_acronym,proposed_name,acronym_basis,basis_detail,confidence,review_status,current_structure_acronym,current_structure_name,resource_action,r,g,b,duplicate_resolution,basis,notes
11,2b cerebellar lobule,2bCb,2b cerebellar lobule,deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,2CL_11,2b cerebellar lobule,kept_for_review_or_manual_approval,0,255,46,unique_imported,,
13,3rd and 4th cerebellar lobules,3&4Cb,3rd and 4th cerebellar lobules,deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,3A4CL_13,3rd and 4th cerebellar lobules,kept_for_review_or_manual_approval,107,255,149,unique_imported,,
14,3rd cerebellar lobule,3Cb,3rd cerebellar lobule,deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,3CL_14,3rd cerebellar lobule,kept_for_review_or_manual_approval,0,255,73,unique_imported,,
15,oculomotor nucleus,3N,oculomotor nucleus,deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,ON_15,oculomotor nucleus,kept_for_review_or_manual_approval,118,161,233,unique_imported,,
16,"oculomotor nucleus, parvicellular part",3NPC,"oculomotor nucleus, parvicellular part",deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,ONPP_16,"oculomotor nucleus, parvicellular part",kept_for_review_or_manual_approval,0,94,255,unique_imported,,
17,3rd ventricle,3V,3rd ventricle,deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,3V_17,3rd ventricle,kept_for_review_or_manual_approval,255,178,220,unique_imported,,
18,oculomotor nerve,3n,oculomotor nerve,deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,ON_18,oculomotor nerve,kept_for_review_or_manual_approval,253,178,255,unique_imported,,
19,4th and 5th cerebellar lobules,4&5Cb,4th and 5th cerebellar lobules,deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,4A5CL_19,4th and 5th cerebellar lobules,kept_for_review_or_manual_approval,142,212,162,unique_imported,,
21,4th cerebellar lobule,4Cb,4th cerebellar lobule,deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,4CL_21,4th cerebellar lobule,kept_for_review_or_manual_approval,71,223,115,unique_imported,,
22,trochlear nucleus,4N,trochlear nucleus,deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,TN_22,trochlear nucleus,kept_for_review_or_manual_approval,0,66,212,unique_imported,,
23,trochlear nucleus shell region,4NSh,trochlear nucleus shell region,deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,TNSR_23,trochlear nucleus shell region,kept_for_review_or_manual_approval,0,80,255,unique_imported,,
24,4th ventricle,4V,4th ventricle,deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,4V_24,4th ventricle,kept_for_review_or_manual_approval,255,89,164,unique_imported,,
25,trochlear nerve,4n,trochlear nerve,deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,TN_25,trochlear nerve,kept_for_review_or_manual_approval,255,0,254,unique_imported,,
26,"motor trigeminal nucleus, anterior digastric part",Mo5AD,"motor trigeminal nucleus, anterior digastric part",deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,MTNADP_26,"motor trigeminal nucleus, anterior digastric part",kept_for_review_or_manual_approval,0,220,255,unique_imported,,
27,5th cerebellar lobule,5Cb,5th cerebellar lobule,deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,5CL_27,5th cerebellar lobule,kept_for_review_or_manual_approval,35,233,92,unique_imported,,
29,"motor trigeminal nucleus, mylohyoid part",Mo5MH,"motor trigeminal nucleus, mylohyoid part",deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,MTNMP_29,"motor trigeminal nucleus, mylohyoid part",kept_for_review_or_manual_approval,118,217,233,unique_imported,,
30,"motor trigeminal nucleus, masseter part",Mo5Ma,"motor trigeminal nucleus, masseter part",deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,MTNMP_30,"motor trigeminal nucleus, masseter part",kept_for_review_or_manual_approval,59,209,233,unique_imported,,
31,motor trigeminal nucleus,Mo5,motor trigeminal nucleus,deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,MTN_31,motor trigeminal nucleus,kept_for_review_or_manual_approval,178,244,255,unique_imported,,
32,-------,USOL3B_32,unresolved_small_or_local_32_between_motor trigeminal nucleus__and__trigeminal-solitary transition,paxinos_placeholder,"Raw Paxinos label name is placeholder ""-------""; no anatomical acronym assigned. Stable unique placeholder used. | sanitized: placeholder raw label kept non-applying and aligned to current structure metadata",low,do_not_apply,USOL3B_32,unresolved_small_or_local_32_between_motor trigeminal nucleus__and__trigeminal-solitary transition,kept_nonapplying_placeholder_aligned_to_current,178,244,255,,,
34,"motor trigeminal nucleus, tensor tympani part",Mo5TT,"motor trigeminal nucleus, tensor tympani part",deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,MTNTTP_34,"motor trigeminal nucleus, tensor tympani part",kept_for_review_or_manual_approval,0,200,233,unique_imported,,
35,"motor trigeminal nucleus, temporalis part",Mo5Te,"motor trigeminal nucleus, temporalis part",deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,MTNTP_35,"motor trigeminal nucleus, temporalis part",kept_for_review_or_manual_approval,59,226,255,unique_imported,,
36,trigeminal transition zone,5tz,trigeminal transition zone,deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,TTZ_36,trigeminal transition zone,kept_for_review_or_manual_approval,76,23,212,unique_imported,,
37,6th cerebellar lobule,6Cb,6th cerebellar lobule,deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,6CL_37,6th cerebellar lobule,kept_for_review_or_manual_approval,0,233,46,unique_imported,,
38,abducens nucleus,6N,abducens nucleus,deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,AN_38,abducens nucleus,kept_for_review_or_manual_approval,89,228,255,unique_imported,,
39,"abducens nucleus, retractor bulbi part",6NRB,"abducens nucleus, retractor bulbi part",deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,ANRBP_39,"abducens nucleus, retractor bulbi part",kept_for_review_or_manual_approval,0,215,255,unique_imported,,
41,6a cerebellar lobule,6aCb,6a cerebellar lobule,deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,6CL_41,6a cerebellar lobule,kept_for_review_or_manual_approval,89,233,117,unique_imported,,
43,6b cerebellar lobule,6bCb,6b cerebellar lobule,deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,6CL_43,6b cerebellar lobule,kept_for_review_or_manual_approval,0,255,50,unique_imported,,
44,6c cerebellar lobule,6cCb,6c cerebellar lobule,deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,6CL_44,6c cerebellar lobule,kept_for_review_or_manual_approval,178,255,193,unique_imported,,
46,7th cerebellar lobule,7Cb,7th cerebellar lobule,deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,7CL_46,7th cerebellar lobule,kept_for_review_or_manual_approval,35,244,96,unique_imported,,
47,"facial nucleus, dorsal intermediate subnucleus",7NDI,"facial nucleus, dorsal intermediate subnucleus",deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,FNDIS_47,"facial nucleus, dorsal intermediate subnucleus",kept_for_review_or_manual_approval,59,204,233,unique_imported,,
48,"facial nucleus, dorsolateral subnucleus",7NDL,"facial nucleus, dorsolateral subnucleus",deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,FNDS_48,"facial nucleus, dorsolateral subnucleus",kept_for_review_or_manual_approval,118,232,255,unique_imported,,
49,"facial nucleus, dorsomedial subnucleus",7NDM,"facial nucleus, dorsomedial subnucleus",deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,FNDS_49,"facial nucleus, dorsomedial subnucleus",kept_for_review_or_manual_approval,0,211,255,unique_imported,,
50,"facial nucleus, lateral subnucleus",7NL,"facial nucleus, lateral subnucleus",deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,FNLS_50,"facial nucleus, lateral subnucleus",kept_for_review_or_manual_approval,0,193,233,unique_imported,,
51,facial nucleus,7N,facial nucleus,deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,FN_51,facial nucleus,kept_for_review_or_manual_approval,0,193,233,unique_imported,,
52,"facial motor nucleus, stylohyoid part",7NSt,"facial motor nucleus, stylohyoid part",deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,FMNSP_52,"facial motor nucleus, stylohyoid part",kept_for_review_or_manual_approval,59,221,255,unique_imported,,
53,"facial nucleus, ventral intermediate subnucleus",7NVI,"facial nucleus, ventral intermediate subnucleus",deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,FNVIS_53,"facial nucleus, ventral intermediate subnucleus",kept_for_review_or_manual_approval,118,213,233,unique_imported,,
54,"facial nucleus, ventromedial subnucleus",7NVM,"facial nucleus, ventromedial subnucleus",deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,FNVS_54,"facial nucleus, ventromedial subnucleus",kept_for_review_or_manual_approval,178,241,255,unique_imported,,
55,facial nerve,7n,facial nerve,deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,FN_55,facial nerve,kept_for_review_or_manual_approval,201,0,255,unique_imported,,
56,nervus intermedius component of the facial nerve,7ni,nervus intermedius component of the facial nerve,deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,NICOTF_56,nervus intermedius component of the facial nerve,kept_for_review_or_manual_approval,200,0,255,unique_imported,,
57,8th cerebellar lobule,8Cb,8th cerebellar lobule,deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,8CL_57,8th cerebellar lobule,kept_for_review_or_manual_approval,142,233,169,unique_imported,,
59,cochlear root of the vestibulocochlear nerve,8cn,cochlear root of the vestibulocochlear nerve,deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,CROTVN_59,cochlear root of the vestibulocochlear nerve,kept_for_review_or_manual_approval,221,0,255,unique_imported,,
60,vestibulocochlear nerve,8n,vestibulocochlear nerve,deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,VN_60,vestibulocochlear nerve,kept_for_review_or_manual_approval,246,178,255,unique_imported,,
61,vestibular root of the vestibulocochlear nerve,8vn,vestibular root of the vestibulocochlear nerve,deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,VROTVN_61,vestibular root of the vestibulocochlear nerve,kept_for_review_or_manual_approval,247,178,255,unique_imported,,
62,9th cerebellar lobule,9Cb,9th cerebellar lobule,deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,9CL_62,9th cerebellar lobule,kept_for_review_or_manual_approval,59,255,100,unique_imported,,
63,"9th cerebellar lobule, a and b",9a&bCb,"9th cerebellar lobule, a and b",deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,9CLAAB_63,"9th cerebellar lobule, a and b",kept_for_review_or_manual_approval,0,255,52,unique_imported,,
64,"9th cerebellar lobule, c",9cCb,"9th cerebellar lobule, c",deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,9CLC_64,"9th cerebellar lobule, c",kept_for_review_or_manual_approval,178,255,194,unique_imported,,
67,A1 noradrenaline cells,A1,A1 noradrenaline cells,deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,ANC_67,A1 noradrenaline cells,kept_for_review_or_manual_approval,233,89,191,unique_imported,,
68,A1 noradrenaline cells/C1 adrenaline cells,A1/C1,A1 noradrenaline cells/C1 adrenaline cells,deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,ANCCAC_68,A1 noradrenaline cells/C1 adrenaline cells,kept_for_review_or_manual_approval,233,0,161,unique_imported,,
69,A11dopamine cells,A11,A11dopamine cells,deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,AC_69,A11dopamine cells,kept_for_review_or_manual_approval,223,0,180,unique_imported,,
70,A13 dopamine cells,A13,A13 dopamine cells,deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,ADC_70,A13 dopamine cells,kept_for_review_or_manual_approval,255,178,238,unique_imported,,
72,A2 noradrenaline cells,A2,A2 noradrenaline cells,deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,ANC_72,A2 noradrenaline cells,kept_for_review_or_manual_approval,255,178,230,unique_imported,,
73,A5 noradrenaline cells,A5,A5 noradrenaline cells,deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,ANC_73,A5 noradrenaline cells,kept_for_review_or_manual_approval,255,0,168,unique_imported,,
74,A7 noradrenaline cells,A7,A7 noradrenaline cells,deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,ANC_74,A7 noradrenaline cells,kept_for_review_or_manual_approval,255,89,195,unique_imported,,
76,anterior amygdaloid area,AA,anterior amygdaloid area,deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,AAA_76,anterior amygdaloid area,kept_for_review_or_manual_approval,255,81,0,unique_imported,,
79,anterior cortical amygdaloid nucleus,ACo,anterior cortical amygdaloid nucleus,deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,ACAN_79,anterior cortical amygdaloid nucleus,kept_for_review_or_manual_approval,248,255,178,unique_imported,,
80,anterodorsal thalamic nucleus,AD,anterodorsal thalamic nucleus,deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,ATN_80,anterodorsal thalamic nucleus,kept_for_review_or_manual_approval,233,199,107,unique_imported,,
82,anterior hypothalamic area,AH,anterior hypothalamic area,deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,AHA_82,anterior hypothalamic area,kept_for_review_or_manual_approval,255,103,0,unique_imported,,
83,"anterior hypothalamic area, anterior part",AHA,"anterior hypothalamic area, anterior part",deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,AHAAP_83,"anterior hypothalamic area, anterior part",kept_for_review_or_manual_approval,223,89,0,unique_imported,,
84,"anterior hypothalamic area, central part",AHC,"anterior hypothalamic area, central part",deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,AHACP_84,"anterior hypothalamic area, central part",kept_for_review_or_manual_approval,255,103,0,unique_imported,,
85,"anterior hypothalamic area, posterior part",AHP,"anterior hypothalamic area, posterior part",deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,AHAPP_85,"anterior hypothalamic area, posterior part",kept_for_review_or_manual_approval,255,156,89,unique_imported,,
86,amygdalohippocampal area,AHi,amygdalohippocampal area,deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,AA_86,amygdalohippocampal area,kept_for_review_or_manual_approval,233,46,0,unique_imported,,
87,"amygdalohippocampal area, anterolateral part",AHiAL,"amygdalohippocampal area, anterolateral part",deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,AAAP_87,"amygdalohippocampal area, anterolateral part",kept_for_review_or_manual_approval,255,49,0,unique_imported,,
89,"amygdalohippocampal area, posterolateral",AHiPL,"amygdalohippocampal area, posterolateral",deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,AAP_89,"amygdalohippocampal area, posterolateral",kept_for_review_or_manual_approval,255,194,178,unique_imported,,
90,"agranular insular cortex, dorsal part",AID,"agranular insular cortex, dorsal part",deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,AID,"agranular insular cortex, dorsal part",kept_for_review_or_manual_approval,208,212,71,unique_imported,,
91,"agranular insular cortex, posterior part",AIP,"agranular insular cortex, posterior part",deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,AIP,"agranular insular cortex, posterior part",kept_for_review_or_manual_approval,216,223,0,unique_imported,,
92,"agranular insular cortex, ventral part",AIV,"agranular insular cortex, ventral part",deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,AIV,"agranular insular cortex, ventral part",kept_for_review_or_manual_approval,238,244,35,unique_imported,,
93,nucleus of the ansa lenticularis,AL,nucleus of the ansa lenticularis,deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,NOTAL_93,nucleus of the ansa lenticularis,kept_for_review_or_manual_approval,141,107,229,unique_imported,,
94,anteromedial thalamic nucleus,AM,anteromedial thalamic nucleus,deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,ATN_94,anteromedial thalamic nucleus,kept_for_review_or_manual_approval,207,121,0,unique_imported,,
95,"anteromedial thalamic nucleus, ventral part",AMV,"anteromedial thalamic nucleus, ventral part",deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,ATNVP_95,"anteromedial thalamic nucleus, ventral part",kept_for_review_or_manual_approval,255,149,0,unique_imported,,
96,accessory neurosecretory nuclei,AN,accessory neurosecretory nuclei,deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,ANN_96,accessory neurosecretory nuclei,kept_for_review_or_manual_approval,116,71,233,unique_imported,,
