label_id,paxinos_name,proposed_acronym,proposed_name,acronym_basis,basis_detail,confidence,review_status,current_structure_acronym,current_structure_name,resource_action,r,g,b,duplicate_resolution
26,"motor trigeminal nucleus, anterior digastric part",Mo5ADig,"motor trigeminal nucleus, anterior digastric part",rule_generated_from_paxinos_name,Algorithmic acronym generated from Paxinos raw name; requires manual review before use as curated label.,low,pending_review,MTNADP_26,"motor trigeminal nucleus, anterior digastric part",kept_for_review_or_manual_approval,0,220,255,
27,5th cerebellar lobule,CbL5,5th cerebellar lobule,rule_generated_from_paxinos_name,Algorithmic acronym generated from Paxinos raw name; requires manual review before use as curated label.,low,pending_review,5CL_27,5th cerebellar lobule,kept_for_review_or_manual_approval,35,233,92,
29,"motor trigeminal nucleus, mylohyoid part",Mo5Myl,"motor trigeminal nucleus, mylohyoid part",rule_generated_from_paxinos_name,Algorithmic acronym generated from Paxinos raw name; requires manual review before use as curated label.,low,pending_review,MTNMP_29,"motor trigeminal nucleus, mylohyoid part",kept_for_review_or_manual_approval,118,217,233,
30,"motor trigeminal nucleus, masseter part",Mo5Mas,"motor trigeminal nucleus, masseter part",rule_generated_from_paxinos_name,Algorithmic acronym generated from Paxinos raw name; requires manual review before use as curated label.,low,pending_review,MTNMP_30,"motor trigeminal nucleus, masseter part",kept_for_review_or_manual_approval,59,209,233,
31,motor trigeminal nucleus,Mo5,motor trigeminal nucleus,manual_common_neuroanatomy,common abbreviation,high,pending_review,MTN_31,motor trigeminal nucleus,kept_for_review_or_manual_approval,178,244,255,
34,"motor trigeminal nucleus, tensor tympani part",Mo5TenTym,"motor trigeminal nucleus, tensor tympani part",rule_generated_from_paxinos_name,Algorithmic acronym generated from Paxinos raw name; requires manual review before use as curated label.,low,pending_review,MTNTTP_34,"motor trigeminal nucleus, tensor tympani part",kept_for_review_or_manual_approval,0,200,233,
35,"motor trigeminal nucleus, temporalis part",Mo5Tem,"motor trigeminal nucleus, temporalis part",rule_generated_from_paxinos_name,Algorithmic acronym generated from Paxinos raw name; requires manual review before use as curated label.,low,pending_review,MTNTP_35,"motor trigeminal nucleus, temporalis part",kept_for_review_or_manual_approval,59,226,255,
36,trigeminal transition zone,5Tra,trigeminal transition zone,rule_generated_from_paxinos_name,Algorithmic acronym generated from Paxinos raw name; requires manual review before use as curated label.,low,pending_review,TTZ_36,trigeminal transition zone,kept_for_review_or_manual_approval,76,23,212,
37,6th cerebellar lobule,CbL6,6th cerebellar lobule,rule_generated_from_paxinos_name,Algorithmic acronym generated from Paxinos raw name; requires manual review before use as curated label.,low,pending_review,6CL_37,6th cerebellar lobule,kept_for_review_or_manual_approval,0,233,46,
38,abducens nucleus,VI,abducens nucleus,manual_common_neuroanatomy,cranial nerve VI nucleus,high,pending_review,AN_38,abducens nucleus,kept_for_review_or_manual_approval,89,228,255,
39,"abducens nucleus, retractor bulbi part",6RetBul,"abducens nucleus, retractor bulbi part",rule_generated_from_paxinos_name,Algorithmic acronym generated from Paxinos raw name; requires manual review before use as curated label.,low,pending_review,ANRBP_39,"abducens nucleus, retractor bulbi part",kept_for_review_or_manual_approval,0,215,255,
41,6a cerebellar lobule,6ACbLob,6a cerebellar lobule,rule_generated_from_paxinos_name,Algorithmic acronym generated from Paxinos raw name; requires manual review before use as curated label.,low,pending_review,6CL_41,6a cerebellar lobule,kept_for_review_or_manual_approval,89,233,117,
43,6b cerebellar lobule,6BCbLob,6b cerebellar lobule,rule_generated_from_paxinos_name,Algorithmic acronym generated from Paxinos raw name; requires manual review before use as curated label.,low,pending_review,6CL_43,6b cerebellar lobule,kept_for_review_or_manual_approval,0,255,50,
44,6c cerebellar lobule,6CCbLob,6c cerebellar lobule,rule_generated_from_paxinos_name,Algorithmic acronym generated from Paxinos raw name; requires manual review before use as curated label.,low,pending_review,6CL_44,6c cerebellar lobule,kept_for_review_or_manual_approval,178,255,193,
46,7th cerebellar lobule,CbL7,7th cerebellar lobule,rule_generated_from_paxinos_name,Algorithmic acronym generated from Paxinos raw name; requires manual review before use as curated label.,low,pending_review,7CL_46,7th cerebellar lobule,kept_for_review_or_manual_approval,35,244,96,
47,"facial nucleus, dorsal intermediate subnucleus",7DI,"facial nucleus, dorsal intermediate subnucleus",rule_generated_from_paxinos_name,Algorithmic acronym generated from Paxinos raw name; requires manual review before use as curated label.,low,pending_review,FNDIS_47,"facial nucleus, dorsal intermediate subnucleus",kept_for_review_or_manual_approval,59,204,233,
48,"facial nucleus, dorsolateral subnucleus",7Dor,"facial nucleus, dorsolateral subnucleus",rule_generated_from_paxinos_name,Algorithmic acronym generated from Paxinos raw name; requires manual review before use as curated label.,low,pending_review,FNDS_48,"facial nucleus, dorsolateral subnucleus",kept_for_review_or_manual_approval,118,232,255,
49,"facial nucleus, dorsomedial subnucleus",7Dor_49,"facial nucleus, dorsomedial subnucleus",rule_generated_from_paxinos_name,Algorithmic acronym generated from Paxinos raw name; requires manual review before use as curated label.,low,pending_review,FNDS_49,"facial nucleus, dorsomedial subnucleus",kept_for_review_or_manual_approval,0,211,255,Acronym 7Dor duplicated with label_id 48; suffixed with label_id for uniqueness.
50,"facial nucleus, lateral subnucleus",7L,"facial nucleus, lateral subnucleus",rule_generated_from_paxinos_name,Algorithmic acronym generated from Paxinos raw name; requires manual review before use as curated label.,low,pending_review,FNLS_50,"facial nucleus, lateral subnucleus",kept_for_review_or_manual_approval,0,193,233,
51,facial nucleus,VII,facial nucleus,manual_common_neuroanatomy,cranial nerve VII nucleus,high,pending_review,FN_51,facial nucleus,kept_for_review_or_manual_approval,0,193,233,
52,"facial motor nucleus, stylohyoid part",7MoSty,"facial motor nucleus, stylohyoid part",rule_generated_from_paxinos_name,Algorithmic acronym generated from Paxinos raw name; requires manual review before use as curated label.,low,pending_review,FMNSP_52,"facial motor nucleus, stylohyoid part",kept_for_review_or_manual_approval,59,221,255,
53,"facial nucleus, ventral intermediate subnucleus",7VI,"facial nucleus, ventral intermediate subnucleus",rule_generated_from_paxinos_name,Algorithmic acronym generated from Paxinos raw name; requires manual review before use as curated label.,low,pending_review,FNVIS_53,"facial nucleus, ventral intermediate subnucleus",kept_for_review_or_manual_approval,118,213,233,
54,"facial nucleus, ventromedial subnucleus",7Ven,"facial nucleus, ventromedial subnucleus",rule_generated_from_paxinos_name,Algorithmic acronym generated from Paxinos raw name; requires manual review before use as curated label.,low,pending_review,FNVS_54,"facial nucleus, ventromedial subnucleus",kept_for_review_or_manual_approval,178,241,255,
55,facial nerve,7n,facial nerve,manual_common_neuroanatomy,cranial nerve VII,high,pending_review,FN_55,facial nerve,kept_for_review_or_manual_approval,201,0,255,
56,nervus intermedius component of the facial nerve,NerIntCom7,nervus intermedius component of the facial nerve,rule_generated_from_paxinos_name,Algorithmic acronym generated from Paxinos raw name; requires manual review before use as curated label.,low,pending_review,NICOTF_56,nervus intermedius component of the facial nerve,kept_for_review_or_manual_approval,200,0,255,
57,8th cerebellar lobule,CbL8,8th cerebellar lobule,rule_generated_from_paxinos_name,Algorithmic acronym generated from Paxinos raw name; requires manual review before use as curated label.,low,pending_review,8CL_57,8th cerebellar lobule,kept_for_review_or_manual_approval,142,233,169,
59,cochlear root of the vestibulocochlear nerve,CochRooVes,cochlear root of the vestibulocochlear nerve,rule_generated_from_paxinos_name,Algorithmic acronym generated from Paxinos raw name; requires manual review before use as curated label.,low,pending_review,CROTVN_59,cochlear root of the vestibulocochlear nerve,kept_for_review_or_manual_approval,221,0,255,
60,vestibulocochlear nerve,8n,vestibulocochlear nerve,manual_common_neuroanatomy,cranial nerve VIII,high,pending_review,VN_60,vestibulocochlear nerve,kept_for_review_or_manual_approval,246,178,255,
61,vestibular root of the vestibulocochlear nerve,VeRooVes,vestibular root of the vestibulocochlear nerve,rule_generated_from_paxinos_name,Algorithmic acronym generated from Paxinos raw name; requires manual review before use as curated label.,low,pending_review,VROTVN_61,vestibular root of the vestibulocochlear nerve,kept_for_review_or_manual_approval,247,178,255,
62,9th cerebellar lobule,CbL9,9th cerebellar lobule,rule_generated_from_paxinos_name,Algorithmic acronym generated from Paxinos raw name; requires manual review before use as curated label.,low,pending_review,9CL_62,9th cerebellar lobule,kept_for_review_or_manual_approval,59,255,100,
63,"9th cerebellar lobule, a and b",CbL9_63,"9th cerebellar lobule, a and b",rule_generated_from_paxinos_name,Algorithmic acronym generated from Paxinos raw name; requires manual review before use as curated label.,low,pending_review,9CLAAB_63,"9th cerebellar lobule, a and b",kept_for_review_or_manual_approval,0,255,52,Acronym CbL9 duplicated with label_id 62; suffixed with label_id for uniqueness.
64,"9th cerebellar lobule, c",CbL9_64,"9th cerebellar lobule, c",rule_generated_from_paxinos_name,Algorithmic acronym generated from Paxinos raw name; requires manual review before use as curated label.,low,pending_review,9CLC_64,"9th cerebellar lobule, c",kept_for_review_or_manual_approval,178,255,194,Acronym CbL9 duplicated with label_id 62; suffixed with label_id for uniqueness.
67,A1 noradrenaline cells,A1,A1 noradrenaline cells,rule_generated_from_paxinos_name,Algorithmic acronym generated from Paxinos raw name; requires manual review before use as curated label.,low,pending_review,ANC_67,A1 noradrenaline cells,kept_for_review_or_manual_approval,233,89,191,
68,A1 noradrenaline cells/C1 adrenaline cells,A1_68,A1 noradrenaline cells/C1 adrenaline cells,rule_generated_from_paxinos_name,Algorithmic acronym generated from Paxinos raw name; requires manual review before use as curated label.,low,pending_review,ANCCAC_68,A1 noradrenaline cells/C1 adrenaline cells,kept_for_review_or_manual_approval,233,0,161,Acronym A1 duplicated with label_id 67; suffixed with label_id for uniqueness.
69,A11dopamine cells,A11,A11dopamine cells,rule_generated_from_paxinos_name,Algorithmic acronym generated from Paxinos raw name; requires manual review before use as curated label.,low,pending_review,AC_69,A11dopamine cells,kept_for_review_or_manual_approval,223,0,180,
70,A13 dopamine cells,A13,A13 dopamine cells,rule_generated_from_paxinos_name,Algorithmic acronym generated from Paxinos raw name; requires manual review before use as curated label.,low,pending_review,ADC_70,A13 dopamine cells,kept_for_review_or_manual_approval,255,178,238,
72,A2 noradrenaline cells,A2,A2 noradrenaline cells,rule_generated_from_paxinos_name,Algorithmic acronym generated from Paxinos raw name; requires manual review before use as curated label.,low,pending_review,ANC_72,A2 noradrenaline cells,kept_for_review_or_manual_approval,255,178,230,
73,A5 noradrenaline cells,A5,A5 noradrenaline cells,rule_generated_from_paxinos_name,Algorithmic acronym generated from Paxinos raw name; requires manual review before use as curated label.,low,pending_review,ANC_73,A5 noradrenaline cells,kept_for_review_or_manual_approval,255,0,168,
74,A7 noradrenaline cells,A7,A7 noradrenaline cells,rule_generated_from_paxinos_name,Algorithmic acronym generated from Paxinos raw name; requires manual review before use as curated label.,low,pending_review,ANC_74,A7 noradrenaline cells,kept_for_review_or_manual_approval,255,89,195,
76,anterior amygdaloid area,AA,anterior amygdaloid area,manual_common_neuroanatomy,standard abbreviation for anterior amygdaloid area,high,pending_review,AAA_76,anterior amygdaloid area,kept_for_review_or_manual_approval,255,81,0,
79,anterior cortical amygdaloid nucleus,ACo,anterior cortical amygdaloid nucleus,manual_common_neuroanatomy,standard abbreviation for anterior cortical amygdaloid nucleus,high,pending_review,ACAN_79,anterior cortical amygdaloid nucleus,kept_for_review_or_manual_approval,248,255,178,
80,anterodorsal thalamic nucleus,AD,anterodorsal thalamic nucleus,manual_common_neuroanatomy,standard thalamic abbreviation,high,pending_review,ATN_80,anterodorsal thalamic nucleus,kept_for_review_or_manual_approval,233,199,107,
82,anterior hypothalamic area,AHA,anterior hypothalamic area,manual_common_neuroanatomy,standard abbreviation,high,pending_review,AHA_82,anterior hypothalamic area,kept_for_review_or_manual_approval,255,103,0,
83,"anterior hypothalamic area, anterior part",AHAa,"anterior hypothalamic area, anterior part",manual_common_neuroanatomy,AHA anterior,high,pending_review,AHAAP_83,"anterior hypothalamic area, anterior part",kept_for_review_or_manual_approval,223,89,0,
84,"anterior hypothalamic area, central part",AHAc,"anterior hypothalamic area, central part",manual_common_neuroanatomy,AHA central,high,pending_review,AHACP_84,"anterior hypothalamic area, central part",kept_for_review_or_manual_approval,255,103,0,
85,"anterior hypothalamic area, posterior part",AHAp,"anterior hypothalamic area, posterior part",manual_common_neuroanatomy,AHA posterior,high,pending_review,AHAPP_85,"anterior hypothalamic area, posterior part",kept_for_review_or_manual_approval,255,156,89,
86,amygdalohippocampal area,AHi,amygdalohippocampal area,manual_common_neuroanatomy,standard abbreviation for amygdalohippocampal area,high,pending_review,AA_86,amygdalohippocampal area,kept_for_review_or_manual_approval,233,46,0,
87,"amygdalohippocampal area, anterolateral part",AHiAL,"amygdalohippocampal area, anterolateral part",manual_common_neuroanatomy,standard derived abbreviation: AHi + anterolateral,high,pending_review,AAAP_87,"amygdalohippocampal area, anterolateral part",kept_for_review_or_manual_approval,255,49,0,
89,"amygdalohippocampal area, posterolateral",AHiPL,"amygdalohippocampal area, posterolateral",manual_common_neuroanatomy,standard derived abbreviation: AHi + posterolateral,high,pending_review,AAP_89,"amygdalohippocampal area, posterolateral",kept_for_review_or_manual_approval,255,194,178,
90,"agranular insular cortex, dorsal part",AID,"agranular insular cortex, dorsal part",paxinos_cortex_file_exact_id,Exact ID match in Paxinos_Watson_Labels_Cortex.txt: AID,official_local,pending_review,AID,"agranular insular cortex, dorsal part",kept_for_review_or_manual_approval,208,212,71,
91,"agranular insular cortex, posterior part",AIP,"agranular insular cortex, posterior part",paxinos_cortex_file_exact_id,Exact ID match in Paxinos_Watson_Labels_Cortex.txt: AIP,official_local,pending_review,AIP,"agranular insular cortex, posterior part",kept_for_review_or_manual_approval,216,223,0,
92,"agranular insular cortex, ventral part",AIV,"agranular insular cortex, ventral part",paxinos_cortex_file_exact_id,Exact ID match in Paxinos_Watson_Labels_Cortex.txt: AIV,official_local,pending_review,AIV,"agranular insular cortex, ventral part",kept_for_review_or_manual_approval,238,244,35,
93,nucleus of the ansa lenticularis,AnsLen,nucleus of the ansa lenticularis,rule_generated_from_paxinos_name,Algorithmic acronym generated from Paxinos raw name; requires manual review before use as curated label.,low,pending_review,NOTAL_93,nucleus of the ansa lenticularis,kept_for_review_or_manual_approval,141,107,229,
94,anteromedial thalamic nucleus,AM,anteromedial thalamic nucleus,manual_common_neuroanatomy,standard thalamic abbreviation,high,pending_review,ATN_94,anteromedial thalamic nucleus,kept_for_review_or_manual_approval,207,121,0,
95,"anteromedial thalamic nucleus, ventral part",AMv,"anteromedial thalamic nucleus, ventral part",manual_common_neuroanatomy,AM ventral,high,pending_review,ATNVP_95,"anteromedial thalamic nucleus, ventral part",kept_for_review_or_manual_approval,255,149,0,
96,accessory neurosecretory nuclei,AccNeu,accessory neurosecretory nuclei,rule_generated_from_paxinos_name,Algorithmic acronym generated from Paxinos raw name; requires manual review before use as curated label.,low,pending_review,ANN_96,accessory neurosecretory nuclei,kept_for_review_or_manual_approval,116,71,233,
97,anterior olfactory nucleus,AON,anterior olfactory nucleus,manual_common_neuroanatomy,standard abbreviation,high,pending_review,AON_97,anterior olfactory nucleus,kept_for_review_or_manual_approval,184,233,0,
100,"anterior olfactory nucleus, external part",AOE,"anterior olfactory nucleus, external part",manual_common_neuroanatomy,AON external,high,pending_review,AONEP_100,"anterior olfactory nucleus, external part",kept_for_review_or_manual_approval,209,233,118,
101,"anterior olfactory nucleus, lateral part",AOL,"anterior olfactory nucleus, lateral part",manual_common_neuroanatomy,AON lateral,high,pending_review,AONLP_101,"anterior olfactory nucleus, lateral part",kept_for_review_or_manual_approval,226,255,118,
103,"anterior olfactory nucleus, posterior part",AOP,"anterior olfactory nucleus, posterior part",manual_common_neuroanatomy,AON posterior,high,pending_review,AONPP_103,"anterior olfactory nucleus, posterior part",kept_for_review_or_manual_approval,196,233,59,
105,"anterior olfactory nucleus, ventroposterior part",AOVP,"anterior olfactory nucleus, ventroposterior part",manual_common_neuroanatomy,AON ventroposterior,high,pending_review,AONVP_105,"anterior olfactory nucleus, ventroposterior part",kept_for_review_or_manual_approval,199,255,0,
106,area postrema,AP,area postrema,manual_common_neuroanatomy,standard abbreviation,high,pending_review,AP_106,area postrema,kept_for_review_or_manual_approval,0,169,223,
107,anterior pretectal nucleus,APre,anterior pretectal nucleus,rule_generated_from_paxinos_name,Algorithmic acronym generated from Paxinos raw name; requires manual review before use as curated label.,low,pending_review,APN_107,anterior pretectal nucleus,kept_for_review_or_manual_approval,59,104,233,
108,"anterior pretectal nucleus, dorsal part",APreD,"anterior pretectal nucleus, dorsal part",rule_generated_from_paxinos_name,Algorithmic acronym generated from Paxinos raw name; requires manual review before use as curated label.,low,pending_review,APNDP_108,"anterior pretectal nucleus, dorsal part",kept_for_review_or_manual_approval,0,69,255,
109,"anterior pretectal nucleus, ventral part",APreV,"anterior pretectal nucleus, ventral part",rule_generated_from_paxinos_name,Algorithmic acronym generated from Paxinos raw name; requires manual review before use as curated label.,low,pending_review,APNVP_109,"anterior pretectal nucleus, ventral part",kept_for_review_or_manual_approval,178,197,255,
110,amygdalopiriform transition area,APir,amygdalopiriform transition area,manual_common_neuroanatomy,standard abbreviation for amygdalopiriform transition area,high,pending_review,ATA_110,amygdalopiriform transition area,kept_for_review_or_manual_approval,240,255,89,
112,anterior tegmental nucleus,ATg,anterior tegmental nucleus,rule_generated_from_paxinos_name,Algorithmic acronym generated from Paxinos raw name; requires manual review before use as curated label.,low,pending_review,ATN_112,anterior tegmental nucleus,kept_for_review_or_manual_approval,118,254,255,
114,anteroventral thalamic nucleus,AV,anteroventral thalamic nucleus,manual_common_neuroanatomy,standard thalamic abbreviation,high,pending_review,ATN_114,anteroventral thalamic nucleus,kept_for_review_or_manual_approval,223,133,0,
115,"anterovent thalamic nucleus, dorsomedial part",AVDM,"anteroventral thalamic nucleus, dorsomedial part",manual_common_neuroanatomy,AV dorsomedial; source name abbreviated,high,pending_review,ATNDP_115,"anterovent thalamic nucleus, dorsomedial part",kept_for_review_or_manual_approval,255,223,178,
117,anteroventral periventricular nucleus,AVPV,anteroventral periventricular nucleus,manual_common_neuroanatomy,standard abbreviation,high,pending_review,APN_117,anteroventral periventricular nucleus,kept_for_review_or_manual_approval,255,123,0,
118,"anteroventral thalamic nucleus, ventrolateral part",AVVL,"anteroventral thalamic nucleus, ventrolateral part",manual_common_neuroanatomy,AV ventrolateral,high,pending_review,ATNVP_118,"anteroventral thalamic nucleus, ventrolateral part",kept_for_review_or_manual_approval,255,152,0,
119,accumbens nucleus,Acb,accumbens nucleus,manual_common_neuroanatomy,common Paxinos-style abbreviation for nucleus accumbens,high,pending_review,AN_119,accumbens nucleus,kept_for_review_or_manual_approval,255,249,178,
120,"accumbens nucleus, core",AcbC,"accumbens nucleus, core",manual_common_neuroanatomy,Acb core,high,pending_review,ANC_120,"accumbens nucleus, core",kept_for_review_or_manual_approval,255,243,89,
122,"accumbens nucleus, shell",AcbSh,"accumbens nucleus, shell",manual_common_neuroanatomy,Acb shell,high,pending_review,ANS_122,"accumbens nucleus, shell",kept_for_review_or_manual_approval,233,218,0,
128,alar nucleus,Ala,alar nucleus,rule_generated_from_paxinos_name,Algorithmic acronym generated from Paxinos raw name; requires manual review before use as curated label.,low,pending_review,AN_128,alar nucleus,kept_for_review_or_manual_approval,128,95,212,
130,"ambiguus nucleus, compact part",Ambc,"ambiguus nucleus, compact part",rule_generated_from_paxinos_name,Algorithmic acronym generated from Paxinos raw name; requires manual review before use as curated label.,low,pending_review,ANCP_130,"ambiguus nucleus, compact part",kept_for_review_or_manual_approval,89,255,105,
131,"ambiguus nucleus, loose part",AmbLoo,"ambiguus nucleus, loose part",rule_generated_from_paxinos_name,Algorithmic acronym generated from Paxinos raw name; requires manual review before use as curated label.,low,pending_review,ANLP_131,"ambiguus nucleus, loose part",kept_for_review_or_manual_approval,0,255,28,
132,"ambiguus nucleus, subcompact part",AmbSub,"ambiguus nucleus, subcompact part",rule_generated_from_paxinos_name,Algorithmic acronym generated from Paxinos raw name; requires manual review before use as curated label.,low,pending_review,ANSP_132,"ambiguus nucleus, subcompact part",kept_for_review_or_manual_approval,178,255,187,
134,angular thalamic nucleus,Ang,angular thalamic nucleus,manual_common_neuroanatomy,common abbreviation,high,pending_review,ATN_134,angular thalamic nucleus,kept_for_review_or_manual_approval,212,183,107,
137,aqueduct,Aq,aqueduct,manual_common_neuroanatomy,standard abbreviation,high,pending_review,A_137,aqueduct,kept_for_review_or_manual_approval,223,0,69,
138,arcuate hypothalamic nucleus,Arc,arcuate hypothalamic nucleus,manual_common_neuroanatomy,common Paxinos-style abbreviation,high,pending_review,AHN_138,arcuate hypothalamic nucleus,kept_for_review_or_manual_approval,255,117,0,
139,"arcuate hypothalamic nucleus, dorsal part",ArcD,"arcuate hypothalamic nucleus, dorsal part",manual_common_neuroanatomy,Arc dorsal,high,pending_review,AHNDP_139,"arcuate hypothalamic nucleus, dorsal part",kept_for_review_or_manual_approval,255,213,178,
140,"arcuate hypothalamic nucleus, lateral part",ArcL,"arcuate hypothalamic nucleus, lateral part",manual_common_neuroanatomy,Arc lateral,high,pending_review,AHNLP_140,"arcuate hypothalamic nucleus, lateral part",kept_for_review_or_manual_approval,233,106,0,
141,"arcuate hypothalamic nucleus, lateroposterior part",ArcLP,"arcuate hypothalamic nucleus, lateroposterior part",manual_common_neuroanatomy,Arc lateroposterior,high,pending_review,AHNLP_141,"arcuate hypothalamic nucleus, lateroposterior part",kept_for_review_or_manual_approval,255,165,89,
142,"arcuate hypothalamic nucleus, medial part",ArcM,"arcuate hypothalamic nucleus, medial part",manual_common_neuroanatomy,Arc medial,high,pending_review,AHNMP_142,"arcuate hypothalamic nucleus, medial part",kept_for_review_or_manual_approval,233,155,89,
143,"arcuate hypothalamic nucleus, medial posterior part",ArcMP,"arcuate hypothalamic nucleus, medial posterior part",manual_common_neuroanatomy,Arc medial posterior,high,pending_review,AHNMPP_143,"arcuate hypothalamic nucleus, medial posterior part",kept_for_review_or_manual_approval,255,117,0,
145,auditory cortex,CTX145,auditory cortex,paxinos_cortex_file_container,"Cortex file gives acronym ""---"" for broad container; unique CTX+ID placeholder assigned.",medium,pending_review,AC_145,auditory cortex,kept_for_review_or_manual_approval,255,251,0,
146,primary auditory cortex,Au1,primary auditory cortex,paxinos_cortex_file_exact_id,Exact ID match in Paxinos_Watson_Labels_Cortex.txt: Au1,official_local,pending_review,Au1,primary auditory cortex,kept_for_review_or_manual_approval,255,251,0,
